address,neighborhood,privacy,view_quality,view_source,topography,elevation_ft,slope_pct,dist_to_ocean,photos
"17845 Porto Marina Way, Pacific Palisades, CA 90272",Castellammare,medium,ocean,redfin_scrape,steep,144.4,34.0,0.1,"maps_satellite.png, maps_streetview.png, redfin_1.jpg, redfin_2.jpg, redfin_3.jpg"
"560 Tahquitz Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,flat,295.3,2.0,0.83,"maps_satellite.png, maps_streetview.png"
"558 Erskine Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,steep,298.6,28.0,0.81,"maps_satellite.png, maps_streetview.png"
"767 Jacon Way, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,456.0,16.0,1.03,"maps_satellite.png, maps_streetview.png"
"707 Muskingum, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,flat,308.4,4.0,1.1,"maps_satellite.png, maps_streetview.png"
"842 Hartzell St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,341.2,4.0,1.2,"maps_satellite.png, maps_streetview.png"
"755 Radcliffe Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,272.3,12.0,1.02,"maps_satellite.png, maps_streetview.png"
"326 Mount Holyoke Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,301.8,14.0,0.57,"maps_satellite.png, maps_streetview.png"
"722 Patterson Pl, Pacific Palisades, CA 90272",Village,high,ocean,geo_heuristic,gentle,288.7,12.0,1.03,"maps_satellite.png, maps_streetview.png"
"665 Via Santa Ynez, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,334.6,10.0,0.77,"maps_satellite.png, maps_streetview.png"
"241 Quadro Vecchio Dr, Pacific Palisades, CA 90272",Castellammare,high,ocean,geo_heuristic,gentle,357.6,10.0,0.29,"maps_satellite.png, maps_streetview.png"
"1116 Maroney Ln, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,gentle,406.8,14.0,1.39,"maps_satellite.png, maps_streetview.png"
"16722 Bollinger Dr, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,298.6,12.0,0.84,"maps_satellite.png, maps_streetview.png"
"16895 Calle De Sarah, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,gentle,1335.3,14.0,2.55,"maps_satellite.png, maps_streetview.png"
"14619 Bestor Blvd, Pacific Palisades, CA 90272",Village,low,ocean,geo_heuristic,gentle,469.2,10.0,1.67,"maps_satellite.png, maps_streetview.png"
"1028 Chautauqua Blvd, Pacific Palisades, CA 90272",Village,low,ocean,geo_heuristic,gentle,393.7,14.0,1.51,"maps_satellite.png, maps_streetview.png"
