address,prev_home_sqft,source,after_build_sqft
"17845 Porto Marina Way, Pacific Palisades, CA 90272",1318.0,parcelquest,1450.0
"560 Tahquitz Pl, Pacific Palisades, CA 90272",1263.0,parcelquest,1389.0
"558 Erskine Dr, Pacific Palisades, CA 90272",1907.0,parcelquest,2098.0
"767 Jacon Way, Pacific Palisades, CA 90272",2336.0,parcelquest,2570.0
"707 Muskingum, Pacific Palisades, CA 90272",1496.0,parcelquest,1646.0
"842 Hartzell St, Pacific Palisades, CA 90272",4339.0,parcelquest,4773.0
"755 Radcliffe Ave, Pacific Palisades, CA 90272",3470.0,parcelquest,3817.0
"326 Mount Holyoke Ave, Pacific Palisades, CA 90272",3071.0,parcelquest,3378.0
"722 Patterson Pl, Pacific Palisades, CA 90272",3472.0,parcelquest,3819.0
"665 Via Santa Ynez, Pacific Palisades, CA 90272",1924.0,parcelquest,2116.0
"241 Quadro Vecchio Dr, Pacific Palisades, CA 90272",2337.0,parcelquest,2571.0
"1116 Maroney Ln, Pacific Palisades, CA 90272",3408.0,parcelquest,3749.0
"16722 Bollinger Dr, Pacific Palisades, CA 90272",3267.0,parcelquest,3594.0
"16895 Calle De Sarah, Pacific Palisades, CA 90272",5286.0,parcelquest,5815.0
"14619 Bestor Blvd, Pacific Palisades, CA 90272",2828.0,parcelquest,3111.0
"1028 Chautauqua Blvd, Pacific Palisades, CA 90272",3602.0,parcelquest,3962.0
"1588 Chastain Pkwy, Pacific Palisades, CA 90272",3622.0,parcelquest,3984.0
"15215 Friends St, Pacific Palisades, CA 90272",2020.0,parcelquest,2222.0
"955 Enchanted Way, Pacific Palisades, CA 90272",4714.0,parcelquest,5185.0
"737 Enchanted Way, Pacific Palisades, CA 90272",2107.0,parcelquest,2318.0
"1073 Glenhaven Dr, Pacific Palisades, CA 90272",2080.0,parcelquest,2288.0
"1260 Lachman Ln, Pacific Palisades, CA 90272",2140.0,parcelquest,2354.0
"16815 Livorno Dr, Pacific Palisades, CA 90272",4656.0,parcelquest,5122.0
"14800 Mc Kendree Ave, Pacific Palisades, CA 90272",7400.0,parcelquest,8140.0
"630 Bienveneda Ave, Pacific Palisades, CA 90272",2187.0,parcelquest,2406.0
"1626 Chastain Pkwy, Pacific Palisades, CA 90272",5040.0,parcelquest,5544.0
"16524 Chattanooga Pl, Pacific Palisades, CA 90272",2795.0,parcelquest,3075.0
"1214 Rimmer Ave, Pacific Palisades, CA 90272",2249.0,parcelquest,2474.0
"14410 Villa Woods Pl, Pacific Palisades, CA 90272",4219.0,parcelquest,4641.0
"865 Oreo Pl, Pacific Palisades, CA 90272",4896.0,parcelquest,5386.0
"700 Chapala Dr, Pacific Palisades, CA 90272",6972.0,parcelquest,7669.0
"1078 Villa Grove Dr, Pacific Palisades, CA 90272",2283.0,parcelquest,2511.0
"1412 Marinette Rd, Pacific Palisades, CA 90272",2476.0,parcelquest,2724.0
"622 Alma Real Dr, Pacific Palisades, CA 90272",4929.0,parcelquest,5422.0
"312 Bellino Dr, Pacific Palisades, CA 90272",2028.0,parcelquest,2231.0
